# StartTime = 12/07/2024 01:10:21.3391 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
78.335,0,14.37,1003.25,129.2,33.8,100.4,20.78431,13,29.5301,0,1.329594,0,0,0.4023885,0.131419
78.758,0,14.37,1003.75,129.2,33.8,100.4,20.78431,13,29.5301,0,1.330376,0,0,0.3988588,0.1302662
79.183,0,14.37,997.25,129.2,33.8,100.4,20.39216,13,29.5301,0,1.331294,0,0,0.4156122,0.1357378
79.598,0,14.37,1003.5,129.2,33.8,100.4,20.39216,13,29.5301,0,1.332241,0,0,0.4535556,0.14813
80.088,0,14.37,994,129.2,33.8,100.4,20.39216,13,29.5301,0,1.333301,0,0,0.4464827,0.14582
80.431,0,14.341,991.75,129.2,33.8,100.4,20.78431,13,29.5301,0,1.33421,0,0,0.4040791,0.1319711
80.827,0,14.341,992.5,129.2,33.8,100.4,20.78431,13,29.5301,0,1.335272,0,0,0.4049862,0.1322674
81.175,0,14.341,995,129.2,33.8,100.4,20.78431,13,29.5301,0,1.336096,0,0,0.4429396,0.1446629
81.552,0,14.341,994.25,129.2,33.8,100.4,20.78431,13,29.5301,0,1.337082,0,0,0.4552088,0.14867
81.963,0,14.341,999.75,129.2,33.8,100.4,20.39216,13,29.5301,0,1.337851,0,0,0.4005132,0.1308065
82.387,0,14.341,984.25,129.2,33.8,100.4,20.78431,13,29.5301,0,1.338687,0,0,0.406701,0.1328274
82.789,0,14.341,990.5,129.2,33.8,100.4,20.78431,13,29.5301,0,1.339713,0,0,0.4596057,0.150106
83.208,0,14.341,988.25,129.2,33.8,100.4,20.78431,13,29.5301,0,1.340706,0,0,0.4119816,0.1345521
83.603,0,14.341,990.25,129.2,33.8,100.4,20.39216,13,29.5301,0,1.341554,0,0,0.3960659,0.129354
84.212,0,14.341,985.5,129.2,33.8,100.4,27.05882,16,29.5301,0,1.34275,0,0,0.5469061,0.178618
84.760,0,14.385,1041,131,33.8,102.2,25.88235,18,29.5301,0,1.343956,0,0,0.5838831,0.1906946
85.180,0,14.385,1052,131,33.8,102.2,24.31373,18,29.5301,0,1.34614,0,0,0.5154818,0.1683549
85.552,0,14.385,1067.5,131,33.8,102.2,22.7451,17,29.5301,0,1.347381,0,0,0.5552191,0.181333
86.024,0,14.385,1049.5,131,33.8,102.2,23.13725,16,29.5301,0,1.348465,0,0,0.5031089,0.164314
86.479,0,14.385,1017.25,131,33.8,102.2,23.52941,17,29.5301,0,1.349583,0,0,0.4986804,0.1628676
86.919,0,14.385,1063,131,33.8,102.2,38.82353,29,29.5301,0,1.351861,0,0,0.8930474,0.2916668
87.333,0,14.385,1484.75,131,33.8,102.2,94.90196,57,29.5301,0,1.354393,0,0,1.032982,0.3373691
87.786,0,14.385,2237.5,131,33.8,102.2,10.58823,12,29.5301,0,1.355701,0,0,0.5421281,0.1770575
88.148,0,14.385,2064.25,131,33.8,102.2,13.72549,6,29.5301,0,1.356885,0,0,0.5640436,0.1842151
88.666,0,14.385,1482.75,131,33.8,102.2,20.39216,9,29.5301,0,1.358327,0,0,0.5655353,0.1847023
89.083,0,14.38,1204.5,131,33.8,102.2,23.92157,16,29.5301,0,1.359803,0,0,0.7127549,0.2327838
89.553,0,14.38,1185.5,131,33.8,102.2,20.78431,14,29.5301,0,1.361236,0,0,0.4989862,0.1629675
